"Cl&eacute; de traduction",Traduction
RECOMMENDED_RETAIL_PRICE,RRP
REGISTER,Register
REGISTRATION,Registration
REGISTRATION_CONFIRMATION,"Your registration request has been submitted for approval by your local admin"
REGISTRATION_LOGIN_EXIST,"This login already exists"
REMEMBER_ME,"Remember me"
REMOVE,Remove
REMOVED,Removed
REPEAT_PASSWORD,"Repeat Password"
REQUEST_FORM_COMMENT,Comments
REQUEST_FORM_SUCCESS,"Your request has been sent"
REQUEST_HELP,Help
REQUEST_SELECTED_ITEMS,"Request selected items"
RESET_LIST,"Reset list"
RESULTS,Results
RESULTS_FOUND,"result found"
RESULTS_OF,Results
RESULTS_ORDERED_BY,"Results ordered by"
RESULTS_PER_PAGE,"Results per page"
RSS_FEED,"RSS Feed"
SAVE_MY_QUICKLINKS,"Save my Quicklinks"
SEARCH,Search
SEARCH_PRODUCTS_BY_FEATURE,"Search products by feature"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER,"Search products by retail name / part number"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE,"No features available for the current selection"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT,"Please select a category to see the features"
SEE_MORE,"Learn more"
SELECT_YOUR_BUSINESS_PROFILE,"Please select your business profile"
SELECT_YOUR_POSITION,"Please select your position"
SEND_REQUEST,"Send request"
SETTINGS,Settings
"Short Content","Short Content"
SHOW_ALL,"See all"
SIZE,Size
SORT_LIST,"Sort by"
STREET,"STREET - N/A"
SUBJECT_CONTACT_MAIL,Subject
"Tag identifier","Tag identifier"
"Tag type","Tag type"
TECHNICAL_SPECIFICATIONS,"Technical specifications"
TENDER_DOCUMENTS_AVAILABLE,"TENDER_DOCUMENTS_AVAILABLE - N/A"
TEST,"Test david AN"
title,Title
TO,to
TOP_PRODUCT,"Top product"
TYPE,Type
TYPE_OF_INFORMATION,"Type of information"
UPDATES,Updates
UPLOAD_VAT_CERTIFICATE,"UPLOAD_VAT_CERTIFICATE - N/A"
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
"URL extranet","Extranet link"
User,User
Users,Users
Valider,Ok
VAT_NUMBER,"VAT Number"
VIP_MEMBER,"VIP member"
Vote,Vote
WANTED_TO_OFFER,"WANTED_TO_OFFER - N/A"
WARRANTY,Warranty
YES,Yes
YOUR_COMMENT,Comment
YOUR_E_MAIL_ADDRESS_LABEL,"Your e-mail address"
YOUR_POSITION,"Your position"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Other
YOUR_POSITION_OWNER,Owner
YOUR_POSITION_SALES,Sales
YOUR_POSITION_SHOP_MANAGER,"Shop manager"
ZIP_CODE,"Postal code"
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
"URL extranet","Extranet link"
User,User
Users,Users
Valider,Ok
VAT_NUMBER,"VAT Number"
VIP_MEMBER,"VIP member"
Vote,Vote
WANTED_TO_OFFER,"WANTED_TO_OFFER - N/A"
WARRANTY,Warranty
YES,Yes
YOUR_COMMENT,Comment
YOUR_E_MAIL_ADDRESS_LABEL,"Your e-mail address"
YOUR_POSITION,"Your position"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Other
YOUR_POSITION_OWNER,Owner
YOUR_POSITION_SALES,Sales
YOUR_POSITION_SHOP_MANAGER,"Shop manager"
ZIP_CODE,"Postal code"
