PRODUCT_RELATED_PRODUCTS,"Produits connexes"
PRODUCT_REQUIRED_OFFER_PRICE,"PRODUCT_REQUIRED_OFFER_PRICE - to be translated"
PRODUCT_REQUIREMENTS,"PRODUCT_REQUIREMENTS - to be translated"
PRODUCT_TYPE,"Product type"
PRODUCT_TYPE_ALL,All
PRODUCT_TYPE_BUSINESS,"Business product"
PRODUCT_TYPE_RETAIL,"Retail product"
PRODUCT_TYPE_RETAIL_RECOMMENDED_FOR_BUSINESS,"Retail product recommended for business"
PRODUCT_UNIFYING,Unifying
PROFILE,Profil
Profiles,Profils
Pub,Pub
QUICKLINKS_BUBBLE_TEXT,"Ajouter à ma liste à surveiller"
QUICKLINKS_INFOS,"Pour ajouter une page à la liste à surveiller, cliquez sur ##IMAGE## "
QUICKLINKS_TITLE,"Liste à surveiller"
RATING,Note
Recent_comment,"Commentaires récents"
"Rechercher dans :","Rechercher dans :"
"Rechercher les medias nommés ou avec l'id :","Rechercher les medias nommés ou avec l'id :"
RECOMMENDED_PRODUCTS,"Nous recommandons"
RECOMMENDED_RETAIL_PRICE,"Prix recommandé"
REGISTER,S'incrire
REGISTRATION,Inscription
REGISTRATION_CONFIRMATION,"Votre demande d'inscription a été transmise à votre admin pour approbation"
REGISTRATION_LOGIN_EXIST,"Cet identifiant existe déjà"
REMEMBER_ME,"Se souvenir de moi"
REMOVE,Supprimer
REMOVED,Supprimé
REPEAT_PASSWORD,"Confirmation du mot de passe"
REQUEST_FORM_COMMENT,Commentaires
REQUEST_FORM_SUCCESS,"Votre demande a été envoyée"
REQUEST_HELP,Aide
REQUEST_SELECTED_ITEMS,"Demander les éléments sélectionnés"
RESET_LIST,"Réinitialiser la liste"
RESULTS,Résultats
RESULTS_FOUND,"résultats trouvés"
RESULTS_OF,"Résultats de"
RESULTS_ORDERED_BY,"Résultats triés par"
RESULTS_PER_PAGE,"Nombre de résultats par page"
RSS_FEED,"Flux RSS"
SAVE_MY_QUICKLINKS,"Enregistrer ma liste à surveiller"
SEARCH,Rechercher
SEARCH_PRODUCTS_BY_FEATURE,"Rechercher des produits par fonction"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER,"Rechercher des produits par nom / numéro de pièce"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE,"Pas de fonctions disponibles pour la sélection"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT,"Veuillez sélectionner un catégorie pour afficher les fonctions"
SEE_MORE,"Pour en savoir plus"
SELECT_YOUR_BUSINESS_PROFILE,"Veuillez sélectionner le profil de votre société"
SELECT_YOUR_POSITION,"Veuillez choisir votre poste"
SEND_REQUEST,"Envoyer la demande"
SETTINGS,Paramêtres
"Short Content",Résumé
SHOW_ALL,"Voir tout"
SIZE,Taille
SORT_LIST,"Trier par"
STREET,"STREET - N/A"
SUBJECT_CONTACT_MAIL,Sujet
"Tag identifier","Clé de tag"
"Tag type","Type de tag"
TECHNICAL_SPECIFICATIONS,"Spécifications techniques"
TENDER_DOCUMENTS_AVAILABLE,"TENDER_DOCUMENTS_AVAILABLE - N/A"
TEST,"Test david FR"
tete,tete
title,Titre
TO,à
TOP_PRODUCT,"TOP_PRODUCT - to be translated"
TYPE,Type
TYPE_OF_INFORMATION,"Nature des informations"
UPDATES,Actualités
UPLOAD_VAT_CERTIFICATE,"UPLOAD_VAT_CERTIFICATE - N/A"
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
"URL extranet","URL extranet"
User,Utilisateur
Users,Utilisateurs
Valider,Valider
VAT_NUMBER,"Numéro de TVA "
Vote,Voter
WANTED_TO_OFFER,"WANTED_TO_OFFER - N/A"
WARRANTY,Garantie
YES,Oui
YOUR_COMMENT,Commentaires
YOUR_E_MAIL_ADDRESS_LABEL,"Votre adresse e-mail"
YOUR_POSITION,"Votre poste"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Autre
YOUR_POSITION_OWNER,Gérant
YOUR_POSITION_SALES,Ventes
YOUR_POSITION_SHOP_MANAGER,"Responsable de boutique"
ZIP_CODE,"Code postal"
"Rechercher les medias nommés ou avec l'id :","Rechercher les medias nommés ou avec l'id :"
RECOMMENDED_PRODUCTS,"Nous recommandons"
RECOMMENDED_RETAIL_PRICE,"Prix recommandé"
REGISTER,S'incrire
REGISTRATION,Inscription
REGISTRATION_CONFIRMATION,"Votre demande d'inscription a été transmise à votre admin pour approbation"
REGISTRATION_LOGIN_EXIST,"Cet identifiant existe déjà"
REMEMBER_ME,"Se souvenir de moi"
REMOVE,Supprimer
REMOVED,Supprimé
REPEAT_PASSWORD,"Confirmation du mot de passe"
REQUEST_FORM_COMMENT,Commentaires
REQUEST_FORM_SUCCESS,"Votre demande a été envoyée"
REQUEST_HELP,Aide
REQUEST_SELECTED_ITEMS,"Demander les éléments sélectionnés"
RESET_LIST,"Réinitialiser la liste"
RESULTS,Résultats
RESULTS_FOUND,"résultats trouvés"
RESULTS_OF,"Résultats de"
RESULTS_ORDERED_BY,"Résultats triés par"
RESULTS_PER_PAGE,"Nombre de résultats par page"
RSS_FEED,"Flux RSS"
SAVE_MY_QUICKLINKS,"Enregistrer ma liste à surveiller"
SEARCH,Rechercher
SEARCH_PRODUCTS_BY_FEATURE,"Rechercher des produits par fonction"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER,"Rechercher des produits par nom / numéro de pièce"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE,"Pas de fonctions disponibles pour la sélection"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT,"Veuillez sélectionner un catégorie pour afficher les fonctions"
SEE_MORE,"Pour en savoir plus"
SELECT_YOUR_BUSINESS_PROFILE,"Veuillez sélectionner le profil de votre société"
SELECT_YOUR_POSITION,"Veuillez choisir votre poste"
SEND_REQUEST,"Envoyer la demande"
SETTINGS,Paramêtres
"Short Content",Résumé
SHOW_ALL,"Voir tout"
SIZE,Taille
SORT_LIST,"Trier par"
STREET,"STREET - N/A"
SUBJECT_CONTACT_MAIL,Sujet
"Tag identifier","Clé de tag"
"Tag type","Type de tag"
TECHNICAL_SPECIFICATIONS,"Spécifications techniques"
TENDER_DOCUMENTS_AVAILABLE,"TENDER_DOCUMENTS_AVAILABLE - N/A"
TEST,"Test david FR"
tete,tete
title,Titre
TO,à
TOP_PRODUCT,"TOP_PRODUCT - to be translated"
TYPE,Type
TYPE_OF_INFORMATION,"Nature des informations"
UPDATES,Actualités
UPLOAD_VAT_CERTIFICATE,"UPLOAD_VAT_CERTIFICATE - N/A"
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
"URL extranet","URL extranet"
User,Utilisateur
Users,Utilisateurs
Valider,Valider
VAT_NUMBER,"Numéro de TVA "
Vote,Voter
WANTED_TO_OFFER,"WANTED_TO_OFFER - N/A"
WARRANTY,Garantie
YES,Oui
YOUR_COMMENT,Commentaires
YOUR_E_MAIL_ADDRESS_LABEL,"Votre adresse e-mail"
YOUR_POSITION,"Votre poste"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Autre
YOUR_POSITION_OWNER,Gérant
YOUR_POSITION_SALES,Ventes
YOUR_POSITION_SHOP_MANAGER,"Responsable de boutique"
ZIP_CODE,"Code postal"
UPDATES,Actualités
UPLOAD_VAT_CERTIFICATE,"UPLOAD_VAT_CERTIFICATE - N/A"
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
"URL extranet","URL extranet"
User,Utilisateur
Users,Utilisateurs
Valider,Valider
VAT_NUMBER,"Numéro de TVA "
Vote,Voter
WANTED_TO_OFFER,"WANTED_TO_OFFER - N/A"
WARRANTY,Garantie
YES,Oui
YOUR_COMMENT,Commentaires
YOUR_E_MAIL_ADDRESS_LABEL,"Votre adresse e-mail"
YOUR_POSITION,"Votre poste"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Autre
YOUR_POSITION_OWNER,Gérant
YOUR_POSITION_SALES,Ventes
YOUR_POSITION_SHOP_MANAGER,"Responsable de boutique"
ZIP_CODE,"Code postal"
